

Simulação de cache com acesso direto
 1d HIT T 000 L 1110
 1f HIT T 000 L 1111
 21 HIT T 001 L 0000
 25 MISS T 001 L 0010
 27 MISS T 001 L 0011
 29 MISS T 001 L 0100
 2b MISS T 001 L 0101
 2d MISS T 001 L 0110
 2f MISS T 001 L 0111
 31 HIT T 001 L 1000
 33 HIT T 001 L 1001
 35 MISS T 001 L 1010
 37 MISS T 001 L 1011
 3b MISS T 001 L 1101
 3d MISS T 001 L 1110
 3f MISS T 001 L 1111
 41 MISS T 010 L 0000
 43 MISS T 010 L 0001
 6 MISS T 000 L 0011
 8 MISS T 000 L 0100
 a MISS T 000 L 0101
 c MISS T 000 L 0110
 e MISS T 000 L 0111
 10 MISS T 000 L 1000
 12 MISS T 000 L 1001
 14 MISS T 000 L 1010
 16 MISS T 000 L 1011
 18 HIT T 000 L 1100
 1a MISS T 000 L 1101
 1c MISS T 000 L 1110
 1d HIT T 000 L 1110
 1f MISS T 000 L 1111
 21 MISS T 001 L 0000
 25 HIT T 001 L 0010
 27 MISS T 001 L 0011
 29 MISS T 001 L 0100
 2b MISS T 001 L 0101
 2d MISS T 001 L 0110
 2f MISS T 001 L 0111
 31 MISS T 001 L 1000
 33 MISS T 001 L 1001
 35 MISS T 001 L 1010
 37 MISS T 001 L 1011
 3b MISS T 001 L 1101
 3d MISS T 001 L 1110
 3f MISS T 001 L 1111
 41 MISS T 010 L 0000
 45 MISS T 010 L 0010
Conte￺do da cache com acesso direto

Linha 0	01000000	01000001	
Linha 1	01000010	01000011	
Linha 2	01000100	01000101	
Linha 3	00100110	00100111	
Linha 4	00101000	00101001	
Linha 5	00101010	00101011	
Linha 6	00101100	00101101	
Linha 7	00101110	00101111	
Linha 8	00110000	00110001	
Linha 9	00110010	00110011	
Linha 10	00110100	00110101	
Linha 11	00110110	00110111	
Linha 12	00011000	00011001	
Linha 13	00111010	00111011	
Linha 14	00111100	00111101	
Linha 15	00111110	00111111	
Total miss 66.0
Total hit 11.0
Hit ratio 14.285715%


Simulação de cache com acesso associativo
 
Tamanho da tag 5 bits
Tamanho da palavra 3 bits
Quantidade de linhas 4 bits

 0 MISS T 00000
 2 HIT T 00000
 4 HIT T 00000
 6 HIT T 00000
 8 MISS T 00001
 a HIT T 00001
 c HIT T 00001
 e HIT T 00001
 10 MISS T 00010
 12 HIT T 00010
 14 HIT T 00010
 16 HIT T 00010
 18 MISS T 00011
 1a HIT T 00011
 1c HIT T 00011
 1d HIT T 00011
 1f HIT T 00011
 21 MISS T 00100
 23 HIT T 00100
 31 MISS T 00110
 33 HIT T 00110
 35 HIT T 00110
 37 HIT T 00110
 39 MISS T 00111
 14 MISS T 00010
 16 HIT T 00010
 18 MISS T 00011
 1a HIT T 00011
 1c HIT T 00011
 1d HIT T 00011
 1f HIT T 00011
 21 MISS T 00100
 25 HIT T 00100
 27 HIT T 00100
 29 MISS T 00101
 2b HIT T 00101
 2d HIT T 00101
 2f HIT T 00101
 31 MISS T 00110
 33 HIT T 00110
 35 HIT T 00110
 37 HIT T 00110
 3b MISS T 00111
 3d HIT T 00111
 3f HIT T 00111
 41 MISS T 01000
 43 HIT T 01000
 6 MISS T 00000
 8 MISS T 00001
 a HIT T 00001
 c HIT T 00001
 e HIT T 00001
 10 MISS T 00010
 12 HIT T 00010
 14 HIT T 00010
 16 HIT T 00010
 18 MISS T 00011
 1a HIT T 00011
 1c HIT T 00011
 1d HIT T 00011
 1f HIT T 00011
 21 MISS T 00100
 25 HIT T 00100
 27 HIT T 00100
 29 MISS T 00101
 2b HIT T 00101
 2d HIT T 00101
 2f HIT T 00101
 31 MISS T 00110
 33 HIT T 00110
 35 HIT T 00110
 37 HIT T 00110
 3b MISS T 00111
 3d HIT T 00111
 3f HIT T 00111
 41 MISS T 01000
 45 HIT T 01000
Conte￺do da mem￳ria associativa e da cache
 Linha 0
 Memoria associativa - 00110
  Cache - 000	001	010	011	100	101	110	111	
 Linha 1
 Memoria associativa - 00111
  Cache - 000	001	010	011	100	101	110	111	
 Linha 2
 Memoria associativa - 01000
  Cache - 000	001	010	011	100	101	110	111	
 Linha 3
 Memoria associativa - 00101
  Cache - 000	001	010	011	100	101	110	111	

Total miss 23.0
Total hit 54.0
Hit ratio 70.12987%


Simulação de cache com acesso associativo
 
Tamanho da tag 6 bits
Tamanho da palavra 2 bits
Quantidade de linhas 8 bits

 0 MISS T 000000
 2 HIT T 000000
 4 MISS T 000001
 6 HIT T 000001
 8 MISS T 000010
 a HIT T 000010
 c MISS T 000011
 e HIT T 000011
 10 MISS T 000100
 12 HIT T 000100
 14 MISS T 000101
 16 HIT T 000101
 18 MISS T 000110
 1a HIT T 000110
 1c MISS T 000111
 1d HIT T 000111
 1f HIT T 000111
 21 MISS T 001000
 23 HIT T 001000
 31 MISS T 001100
 33 HIT T 001100
 35 MISS T 001101
 37 HIT T 001101
 39 MISS T 001110
 14 HIT T 000101
 16 HIT T 000101
 18 HIT T 000110
 1a HIT T 000110
 1c HIT T 000111
 1d HIT T 000111
 1f HIT T 000111
 21 HIT T 001000
 25 MISS T 001001
 27 HIT T 001001
 29 MISS T 001010
 2b HIT T 001010
 2d MISS T 001011
 2f HIT T 001011
 31 MISS T 001100
 33 HIT T 001100
 35 MISS T 001101
 37 HIT T 001101
 3b MISS T 001110
 3d MISS T 001111
 3f HIT T 001111
 41 MISS T 010000
 43 HIT T 010000
 6 MISS T 000001
 8 MISS T 000010
 a HIT T 000010
 c MISS T 000011
 e HIT T 000011
 10 MISS T 000100
 12 HIT T 000100
 14 MISS T 000101
 16 HIT T 000101
 18 MISS T 000110
 1a HIT T 000110
 1c MISS T 000111
 1d HIT T 000111
 1f HIT T 000111
 21 MISS T 001000
 25 MISS T 001001
 27 HIT T 001001
 29 MISS T 001010
 2b HIT T 001010
 2d MISS T 001011
 2f HIT T 001011
 31 MISS T 001100
 33 HIT T 001100
 35 MISS T 001101
 37 HIT T 001101
 3b MISS T 001110
 3d MISS T 001111
 3f HIT T 001111
 41 MISS T 010000
 45 MISS T 010001
Conte￺do da mem￳ria associativa e da cache
 Linha 0
 Memoria associativa - 010000
  Cache - 00	01	10	11	
 Linha 1
 Memoria associativa - 001010
  Cache - 00	01	10	11	
 Linha 2
 Memoria associativa - 001011
  Cache - 00	01	10	11	
 Linha 3
 Memoria associativa - 001100
  Cache - 00	01	10	11	
 Linha 4
 Memoria associativa - 010001
  Cache - 00	01	10	11	
 Linha 5
 Memoria associativa - 001101
  Cache - 00	01	10	11	
 Linha 6
 Memoria associativa - 001110
  Cache - 00	01	10	11	
 Linha 7
 Memoria associativa - 001111
  Cache - 00	01	10	11	

Total miss 37.0
Total hit 40.0
Hit ratio 51.94805%


Simulação de cache com acesso associativo
 
Tamanho da tag 7 bits
Tamanho da palavra 1 bits
Quantidade de linhas 16 bits

 0 MISS T 0000000
 2 MISS T 0000001
 4 MISS T 0000010
 6 MISS T 0000011
 8 MISS T 0000100
 a MISS T 0000101
 c MISS T 0000110
 e MISS T 0000111
 10 MISS T 0001000
 12 MISS T 0001001
 14 MISS T 0001010
 16 MISS T 0001011
 18 MISS T 0001100
 1a MISS T 0001101
 1c MISS T 0001110
 1d HIT T 0001110
 1f MISS T 0001111
 21 MISS T 0010000
 23 MISS T 0010001
 31 MISS T 0011000
 33 MISS T 0011001
 35 MISS T 0011010
 37 MISS T 0011011
 39 MISS T 0011100
 14 HIT T 0001010
 16 HIT T 0001011
 18 HIT T 0001100
 1a HIT T 0001101
 1c HIT T 0001110
 1d HIT T 0001110
 1f HIT T 0001111
 21 HIT T 0010000
 25 MISS T 0010010
 27 MISS T 0010011
 29 MISS T 0010100
 2b MISS T 0010101
 2d MISS T 0010110
 2f MISS T 0010111
 31 MISS T 0011000
 33 MISS T 0011001
 35 MISS T 0011010
 37 MISS T 0011011
 3b MISS T 0011101
 3d MISS T 0011110
 3f MISS T 0011111
 41 MISS T 0100000
 43 MISS T 0100001
 6 MISS T 0000011
 8 MISS T 0000100
 a MISS T 0000101
 c MISS T 0000110
 e MISS T 0000111
 10 MISS T 0001000
 12 MISS T 0001001
 14 MISS T 0001010
 16 MISS T 0001011
 18 MISS T 0001100
 1a MISS T 0001101
 1c MISS T 0001110
 1d HIT T 0001110
 1f MISS T 0001111
 21 MISS T 0010000
 25 MISS T 0010010
 27 MISS T 0010011
 29 MISS T 0010100
 2b MISS T 0010101
 2d MISS T 0010110
 2f MISS T 0010111
 31 MISS T 0011000
 33 MISS T 0011001
 35 MISS T 0011010
 37 MISS T 0011011
 3b MISS T 0011101
 3d MISS T 0011110
 3f MISS T 0011111
 41 MISS T 0100000
 45 MISS T 0100010
Conte￺do da mem￳ria associativa e da cache
 Linha 0
 Memoria associativa - 0010100
  Cache - 0	1	
 Linha 1
 Memoria associativa - 0011000
  Cache - 0	1	
 Linha 2
 Memoria associativa - 0011001
  Cache - 0	1	
 Linha 3
 Memoria associativa - 0011010
  Cache - 0	1	
 Linha 4
 Memoria associativa - 0011011
  Cache - 0	1	
 Linha 5
 Memoria associativa - 0011101
  Cache - 0	1	
 Linha 6
 Memoria associativa - 0011110
  Cache - 0	1	
 Linha 7
 Memoria associativa - 0010101
  Cache - 0	1	
 Linha 8
 Memoria associativa - 0010110
  Cache - 0	1	
 Linha 9
 Memoria associativa - 0010111
  Cache - 0	1	
 Linha 10
 Memoria associativa - 0011111
  Cache - 0	1	
 Linha 11
 Memoria associativa - 0100000
  Cache - 0	1	
 Linha 12
 Memoria associativa - 0100010
  Cache - 0	1	
 Linha 13
 Memoria associativa - 0010000
  Cache - 0	1	
 Linha 14
 Memoria associativa - 0010010
  Cache - 0	1	
 Linha 15
 Memoria associativa - 0010011
  Cache - 0	1	

Total miss 67.0
Total hit 10.0
Hit ratio 12.987013%
