0
2
4
6
8
a
c
e
10
12
14
16
18
1a
1c
1d
1f
21
23
31
33
35
37
39
14
16
18
1a
1c
1d
1f
21
25
27
29
2b
2d
2f
31
33
35
37
3b
3d
3f
41
43
6
8
a
c
e
10
12
14
16
18
1a
1c
1d
1f
21
25
27
29
2b
2d
2f
31
33
35
37
3b
3d
3f
41
45
